["Cycle No.","Cycle time","Low pulse width","High pulse width"],
[266,6.47521900202334E-05,4.79135726646346E-06,5.996083275377E-05],
[267,6.47547388742883E-05,4.79516000742933E-06,5.9959578866859E-05],
[268,6.47492574630884E-05,4.79241930182936E-06,5.9956838161259E-05],
[269,6.47547388742883E-05,4.79916361836169E-06,5.99555752559267E-05],
[270,6.47523959264526E-05,4.79642291276172E-06,5.99559730136909E-05],
[271,6.4754802720144E-05,4.79642291276172E-06,5.99583798073823E-05],
[272,6.47538673097039E-05,4.79361836130607E-06,5.99602489483979E-05],
[273,6.47519981686884E-05,4.7920143127142E-06,5.99599838559742E-05],
[274,6.47546664403267E-05,4.79535325804623E-06,5.99593131822805E-05],
[275,6.47506630697334E-05,4.79268498640786E-06,5.99579780833255E-05],
[276,6.47542867143087E-05,4.7980200859471E-06,5.99562666283616E-05],
[277,6.47537057747172E-05,4.79573154032673E-06,5.99579742343904E-05],
[278,6.47546648365228E-05,4.79601527258663E-06,5.99586495639362E-05],
[279,6.47521900202334E-05,4.79334860475217E-06,5.99588414154813E-05],
[280,6.47519981686884E-05,4.7931567532071E-06,5.99588414154813E-05],
[281,6.47547388742883E-05,4.79516000742933E-06,5.9959578866859E-05],
[282,6.47519981686884E-05,4.79642291276172E-06,5.99555752559267E-05],
[283,6.47519981686884E-05,4.79682067052595E-06,5.99551774981624E-05],
[284,6.47544013466575E-05,4.80042470828168E-06,5.99539766383758E-05],
[285,6.47527972999391E-05,4.79441749255682E-06,5.99583798073823E-05],
[286,6.47552004823873E-05,4.7972223990618E-06,5.99579780833255E-05],
[287,6.4750664996005E-05,4.79402008536287E-06,5.99566449106421E-05],
[288,6.47546664403267E-05,4.79535325804623E-06,5.99593131822805E-05],
[289,6.47546592213825E-05,4.79548209970579E-06,5.99591771216768E-05],
[290,3.23760014875191E-05,4.79402393429793E-06,2.75819775532211E-05],
[291,3.47733355605985E-05,4.79468258498053E-06,2.9978652975618E-05],
[292,3.23762593622441E-05,2.39867639315744E-06,2.99775829690867E-05],
[293,3.23783998591384E-05,2.40042477615832E-06,2.99779750829801E-05],
[294,3.23768006187698E-05,2.39601534046327E-06,2.99807852783066E-05],
[295,3.23751975499185E-05,2.39722246693844E-06,2.99779750829801E-05],
[296,3.23768006187698E-05,2.39601534046327E-06,2.99807852783066E-05],
[297,3.47734898760131E-05,3.2381221618933E-05,2.39226825708011E-06],
[298,3.23753059155787E-05,2.99849244800622E-05,2.39038143551654E-06],
[299,3.23783998591384E-05,2.99872211093274E-05,2.39117874981098E-06],
[300,3.23768006187698E-05,2.99860214254891E-05,2.39077919328076E-06],
[301,3.23757703541636E-05,2.99852216873939E-05,2.39054866676969E-06],
[302,6.23570246572995E-05,2.99858463790083E-05,3.23711782782912E-05],
[303,3.23783998591384E-05,2.40322188945624E-06,2.99751779696822E-05],
[304,3.23760014875191E-05,2.39921765416221E-06,2.99767838333569E-05],
[305,3.23759966811693E-05,2.40202159877342E-06,2.99739750823959E-05],
[306,3.23735983095499E-05,2.40202220561786E-06,2.99715761039321E-05],
[307,3.23783998591384E-05,2.40442477674255E-06,2.99739750823959E-05],
[308,3.23768006187698E-05,2.40202220561786E-06,2.9974778413152E-05],
[309,6.23565356492189E-05,2.40001958023636E-06,5.99565160689826E-05],
[310,6.47519981686884E-05,4.79668498699209E-06,5.99553131816963E-05],
[311,6.47529516153537E-05,4.79668498699209E-06,5.99562666283616E-05],
[312,6.47537057747172E-05,4.79573154032673E-06,5.99579742343904E-05],
